[2026-04-23 14:34:41] INFO     db — Database initialized.
[2026-04-23 14:34:42] INFO     auth — Default admin account created: 'admin'
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:02] INFO     auth — Login successful: admin
[2026-04-23 14:35:02] INFO     db — Database initialized.
[2026-04-23 14:35:15] INFO     db — Database initialized.
[2026-04-23 14:35:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 14:36:26] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:04:15] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     db — Database initialized.
[2026-04-23 15:05:41] INFO     auth — Login successful: admin
[2026-04-23 15:05:51] INFO     db — Database initialized.
[2026-04-23 15:07:59] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     db — Database initialized.
[2026-04-23 15:08:37] INFO     auth — Login successful: admin
[2026-04-23 15:08:54] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     db — Database initialized.
[2026-04-23 15:09:26] INFO     auth — Login successful: admin
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:30:58] INFO     db — Database initialized.
[2026-04-23 15:31:13] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     db — Database initialized.
[2026-04-23 15:33:12] INFO     auth — Login successful: admin
[2026-04-23 15:33:13] INFO     db — Database initialized.
[2026-04-23 15:36:01] INFO     db — Database initialized.
[2026-04-23 15:36:01] INFO     db — Database initialized.
[2026-04-23 15:45:06] INFO     __main__ — Found 1470 file(s) in data\raw
[2026-04-23 15:45:11] INFO     utils.loader — Found 1470 PDF(s) in data\raw
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11597.pdf
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11601.pdf
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11602.pdf
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11602_1.pdf
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11602_2.pdf
[2026-04-23 15:45:15] DEBUG    utils.loader —   Loaded 1 pages from 11605.pdf
[2026-04-23 15:45:16] DEBUG    utils.loader —   Loaded 1 pages from 11608.pdf
[2026-04-23 15:45:16] DEBUG    utils.loader —   Loaded 1 pages from 11648.pdf
[2026-04-23 15:45:16] DEBUG    utils.loader —   Loaded 1 pages from 11649.pdf
[2026-04-23 15:45:16] DEBUG    utils.loader —   Loaded 1 pages from 11658.pdf
[2026-04-23 15:45:16] DEBUG    utils.loader —   Loaded 1 pages from 11659.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11662.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11663.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11678.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11679.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11683.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11686.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11687.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11691.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11693.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11694.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11695.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11708.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11729.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11736.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11737.pdf
[2026-04-23 15:45:17] DEBUG    utils.loader —   Loaded 1 pages from 11793.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11801.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11806.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11903.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11916.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11919.pdf
[2026-04-23 15:45:18] DEBUG    utils.loader —   Loaded 1 pages from 11919_1.pdf
